gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CDKN2A	225405	357	-15	357750	93150	0	22	0	0	16	6	2950500	0	0
KRAS	259193	512	16	257100	61950	0	140	2	0	8	6	1087950	0	0
SMAD4	156084	422	41	602100	162450	0	38	0	0	50	17	10450350	0	0
TP53	2069567	213	34	463350	127950	0	105	0	0	50	16	7773750	0	0
RNF43	782135	399	22	815100	257700	0	12	1	0	50	30	12313050	4.141110e-07	1.562193e-03
TGFBR2	80018	417	-9	642000	171150	0	10	0	0	50	27	9148500	6.657482e-05	2.092890e-01
PRSS1	285408	636	11	269100	74700	0	5	0	0	50	28	10203600	4.367701e-04	1
PMEPA1	197938	488	15	307650	91050	0	6	1	0	50	18	7232400	1.255028e-03	1
ADORA3	374092	330	27	626250	176550	0	5	0	0	50	13	9223800	1.588428e-03	1
LY86	133091	314	29	181350	46800	0	2	0	0	50	22	9043800	1.733114e-03	1
PSMB4	1322568	174	42	285450	84000	0	4	0	0	50	20	9849300	1.857565e-03	1
RREB1	664661	310	35	1818150	552900	0	12	3	0	50	16	9151500	1.972821e-03	1
KLK15	655673	589	25	272400	82650	0	6	0	0	50	17	10383750	2.193551e-03	1
HIST1H1B	228884	634	40	232650	75600	0	3	0	0	50	11	6237750	2.687394e-03	1
FBXW7	117295	501	51	915600	245400	0	5	0	0	50	18	10115850	3.190702e-03	1
IFT46	1359480	167	47	402300	98100	0	3	0	0	50	18	9665850	5.516422e-03	1
IYD	286182	334	29	387900	89550	0	5	1	0	50	19	8187000	6.264316e-03	1
RPL15	399346	319	6	216600	65550	0	2	0	0	50	14	9413700	6.594925e-03	1
CD86	557964	715	39	366450	89850	0	4	0	0	50	15	7898400	6.647808e-03	1
RSPO1	445248	274	29	285450	78150	0	3	1	0	37	21	6736800	6.708544e-03	1
JAGN1	950574	170	54	195150	55050	0	2	0	0	50	14	8492100	6.853514e-03	1
ADAMTS19	38096	1075	-16	1316550	353850	0	7	1	0	50	20	8208450	7.140214e-03	1
HIST1H2BE	398813	636	53	131700	40650	0	3	0	0	50	15	5746350	7.469426e-03	1
TMCC1	614377	357	40	691350	196950	0	7	1	0	50	21	10366800	7.601617e-03	1
KIAA1045	676166	394	23	429300	124650	0	5	0	0	50	22	12822750	7.618234e-03	1
CPE	171042	494	-9	518400	139950	0	3	1	0	50	30	10100550	8.907855e-03	1
CCDC70	353099	349	69	258150	59550	0	3	0	0	50	16	8713950	9.438642e-03	1
ADAMTS16	89385	683	-23	1326450	366900	0	11	1	0	50	27	9659550	1.110092e-02	1
PRTFDC1	164255	142	18	258600	61800	0	2	0	0	50	15	8375850	1.110546e-02	1
BRAF	305191	616	25	832200	234750	0	3	0	0	45	13	9186150	1.120581e-02	1
NGF	537568	558	6	251850	76650	0	5	1	0	11	5	2530650	1.126161e-02	1
ABTB2	769733	368	32	903600	259200	0	5	1	0	50	21	8747400	1.135271e-02	1
WTAP	643775	604	19	436800	112650	0	3	1	0	50	17	8437650	1.142727e-02	1
TPRG1	131839	421	1	300300	81300	0	3	0	0	50	13	8017050	1.184883e-02	1
KCNG3	254123	368	24	452250	139500	0	4	0	0	50	8	9360000	1.194908e-02	1
KCNA6	277089	903	16	540600	174900	0	6	1	0	50	19	8416200	1.205362e-02	1
OR5M3	NaN	NaN	NaN	323700	91200	0	4	0	0	50	40	16795800	1.301930e-02	1
NTF3	28523	735	17	285150	83400	0	4	0	0	50	19	8627700	1.321927e-02	1
STK11	2214581	234	29	471900	130200	0	3	0	0	50	23	8631600	1.380423e-02	1
MOS	344171	552	20	349650	118350	0	3	0	0	50	11	11530800	1.454044e-02	1
POM121L12	10922	1116	-24	301050	100800	0	4	1	0	50	29	10770900	1.539705e-02	1
ACVR2A	90992	951	-2	567150	144750	0	4	0	0	50	18	8634000	1.541148e-02	1
FCGR2B	598281	504	20	341550	91800	0	2	0	0	50	11	7879650	1.585342e-02	1
RIMS4	942798	168	40	287400	86100	0	4	0	0	50	20	9983100	1.596059e-02	1
SEC61B	203560	410	37	103950	33300	0	1	0	0	50	9	8754300	1.605154e-02	1
MAP2K4	45834	583	-52	444450	114450	0	5	0	0	50	28	9084000	1.610008e-02	1
PLD5	75320	854	-18	494550	122400	0	5	0	0	50	22	8785650	1.680351e-02	1
RDX	137601	158	10	656850	154950	0	4	0	0	50	19	9257250	1.743137e-02	1
CD1B	128145	833	4	357750	102150	0	4	1	0	50	17	8046600	1.796769e-02	1
NAA40	1322584	277	42	269850	64050	0	4	0	0	50	39	11290050	1.813289e-02	1
MT1H	661565	143	26	73050	15150	0	1	0	0	49	9	7904100	1.814367e-02	1
CD1D	120333	711	8	359250	103350	0	3	1	0	50	25	11376150	1.835976e-02	1
ENY2	135626	732	20	118800	27000	0	1	0	0	50	46	20174700	1.848703e-02	1
GSTM5	927739	201	22	249750	59400	0	2	0	0	50	14	6059100	1.848871e-02	1
TGFBR1	201435	211	30	545550	150150	0	6	0	0	50	24	8349900	1.939942e-02	1
PSG6	282702	238	-37	478950	138000	0	6	1	0	22	13	4425000	2.009744e-02	1
ADAMTS12	373086	875	7	1731000	464550	0	10	4	0	38	19	6068850	2.038244e-02	1
FLVCR1	326908	445	13	584700	182100	0	3	1	0	50	18	7747800	2.038575e-02	1
COX7B2	86349	938	11	88950	23550	0	2	0	0	50	27	9977250	2.056149e-02	1
WFIKKN2	1152451	161	15	602550	178200	0	4	1	0	50	12	7217700	2.059488e-02	1
APOA4	419339	326	36	419100	120450	0	3	0	0	50	14	8913450	2.066423e-02	1
RAD51AP1	275215	908	30	393300	99450	0	3	0	0	50	16	8831850	2.069416e-02	1
TCEB1	258047	417	25	126300	31650	0	2	0	0	50	6	7263150	2.150773e-02	1
TACR3	101583	931	-24	491550	144750	0	3	1	0	50	44	10746900	2.170139e-02	1
IKZF2	55860	1226	19	584100	139950	0	3	1	0	50	21	8049000	2.179577e-02	1
CRYZL1	909314	375	58	394350	99750	0	3	0	0	50	13	7643550	2.187853e-02	1
TMEM198	548994	487	35	360900	133650	0	6	1	0	50	22	10496250	2.206498e-02	1
TRIM42	108667	896	10	783450	201150	0	6	1	0	50	22	9559050	2.242478e-02	1
BVES	108905	702	-1	398250	101700	0	4	0	0	50	15	9223800	2.285367e-02	1
HERPUD1	820472	125	47	423600	118200	0	2	1	0	50	19	10825050	2.303469e-02	1
FLT4	855370	515	13	1478100	419100	0	9	2	0	50	19	8054850	2.323934e-02	1
DCUN1D4	70055	766	17	339750	73800	0	4	0	0	50	24	8300250	2.398136e-02	1
CCL7	26189	889	-12	110850	28650	0	1	0	0	50	35	12509550	2.418144e-02	1
RPA2	891090	272	20	301050	79200	0	2	1	0	38	13	6125700	2.432560e-02	1
GBA	1574928	194	45	580500	166050	0	3	0	0	50	16	8762250	2.444906e-02	1
C4orf50	109875	686	16	295050	90600	0	4	1	0	49	23	7302300	2.447740e-02	1
GPR26	208204	808	17	343350	117450	0	3	1	0	50	23	8853300	2.462315e-02	1
FCER1G	728669	234	37	98250	27300	0	1	0	0	39	15	6698850	2.482970e-02	1
OR14C36	104321	936	-39	322650	99000	0	2	0	0	50	23	7684950	2.484389e-02	1
ACSS3	26211	1037	-20	741600	213750	0	5	0	0	50	18	9330450	2.488177e-02	1
DSCR4	78525	448	1	127350	36900	0	2	0	0	50	11	7686300	2.498215e-02	1
HIST1H4E	390169	544	57	104550	36750	0	1	0	0	50	9	5841000	2.510968e-02	1
SNRPE	527029	280	26	109350	24300	0	2	0	0	50	14	6350250	2.562506e-02	1
PHF15	909404	177	51	835350	249600	0	3	0	0	50	16	9089850	2.602900e-02	1
EPB41L3	57432	1036	-5	1175250	333150	0	4	2	0	50	10	7387950	2.648386e-02	1
PPP2R5C	1400431	346	28	726000	182100	0	3	0	0	32	8	5577750	2.657717e-02	1
CCL26	1012112	255	51	105900	27750	0	1	0	0	50	17	7155600	2.681669e-02	1
RASSF2	467742	485	32	360300	99150	0	2	0	0	50	17	8513400	2.686798e-02	1
LYSMD3	86012	780	7	330750	87300	0	2	0	0	50	22	8682300	2.773663e-02	1
TPO	56524	599	-23	990000	299250	0	7	3	0	50	25	7375800	2.785389e-02	1
DUSP6	236331	448	-23	401550	117750	0	2	0	0	50	33	12869700	2.811612e-02	1
NR6A1	892645	345	29	527400	138150	0	2	0	0	50	14	8731500	2.819244e-02	1
ATP5G3	343228	752	28	153000	48150	0	3	0	0	50	16	9567300	2.915095e-02	1
HIST1H2BF	394491	544	55	131550	40800	0	3	0	0	50	7	5803950	2.964749e-02	1
TMEM38A	980514	362	41	322200	92700	0	3	0	0	50	29	9137400	2.976898e-02	1
PREX1	752875	360	47	1817400	494700	0	8	3	0	50	14	9888750	2.999422e-02	1
OSBPL11	269912	188	31	815850	215550	0	3	1	0	50	17	8620800	3.038713e-02	1
CYTL1	76400	557	36	144900	46350	0	2	0	0	50	19	8938500	3.106104e-02	1
ZNRF4	932785	365	19	433650	148650	0	5	0	0	50	19	8856600	3.109619e-02	1
EEF2	2173603	207	30	921750	264000	0	5	0	0	50	27	8930250	3.115524e-02	1
GNAS	1025539	416	11	1610550	211950	0	11	1	0	50	12	5704200	3.176773e-02	1
UNC50	260302	696	39	282300	77700	0	3	1	0	15	7	3310350	3.177991e-02	1
MGST2	382197	256	12	161700	46200	0	1	0	0	50	10	11037900	3.229959e-02	1
ZNF576	441738	209	6	181800	52650	0	2	0	0	50	16	9330900	3.231821e-02	1
OR5H1	200002	811	-15	327900	95100	0	3	0	0	50	30	8885550	3.259579e-02	1
NRSN1	349698	825	-21	207150	61050	0	3	1	0	32	10	4035300	3.295145e-02	1
HIST1H2BO	228884	634	40	132750	40500	0	2	0	0	50	11	6237750	3.321519e-02	1
ABI2	415048	298	23	512700	146100	0	2	0	0	50	17	8530500	3.386575e-02	1
ELAVL4	93599	824	-20	449700	119100	0	2	0	0	50	20	8186700	3.421488e-02	1
ACTG2	1036341	284	45	411450	112800	0	3	0	0	22	13	6296550	3.429049e-02	1
CLEC12A	305376	565	19	298050	70050	0	2	0	0	50	8	11023650	3.438615e-02	1
FGF6	291341	908	23	217500	70050	0	2	0	0	50	8	8746500	3.473885e-02	1
SYT12	1643265	152	47	450300	132000	0	3	0	0	50	19	8663700	3.483347e-02	1
C6orf195	467575	342	25	132750	40050	0	1	0	0	50	22	8249700	3.490213e-02	1
WNT3A	688142	391	0	375450	107400	0	4	0	0	50	14	7824900	3.509362e-02	1
ABLIM1	267957	257	13	918150	241500	0	6	0	0	50	14	8424900	3.510727e-02	1
CPB1	276750	681	-16	458250	124950	0	3	0	0	50	24	10021650	3.519803e-02	1
CPNE2	745404	154	48	605400	162750	0	3	0	0	20	7	2369100	3.529348e-02	1
ELK1	772893	NaN	41	438150	150000	0	2	0	0	38	15	8128050	3.564078e-02	1
TEX12	389593	362	2	139800	34800	0	1	0	0	50	18	7528500	3.625534e-02	1
FLG	433645	548	21	4232100	1255200	0	15	2	0	35	7	7635750	3.626435e-02	1
ARHGAP5	153921	392	1	1618050	420000	0	6	1	0	38	14	8649900	3.662406e-02	1
CNBP	1130979	189	50	201900	48300	0	4	0	0	50	11	8540250	3.664975e-02	1
CCL8	40425	871	-32	109650	28950	0	1	0	0	50	33	8413200	3.676660e-02	1
KLHDC8A	662921	249	41	368400	112650	0	4	1	0	9	3	1876200	3.677800e-02	1
WNT7A	422569	498	34	373650	104250	0	2	1	0	50	20	7743300	3.746316e-02	1
KCNA5	160467	896	22	621450	207450	0	4	1	0	50	17	9825750	3.770051e-02	1
BCLAF1	286851	153	21	997050	266100	0	5	1	0	50	23	10882800	3.776874e-02	1
APBA2	161108	927	-21	814800	219300	0	6	0	0	50	27	9495450	3.811096e-02	1
PRL	13319	831	-2	246300	70500	0	3	1	0	13	2	2203650	3.835631e-02	1
CASP8	571730	386	37	641850	145200	0	2	1	0	50	15	9206700	3.851077e-02	1
GLO1	280153	845	28	208950	49800	0	2	0	0	50	20	10676100	3.853896e-02	1
MAP1LC3A	990458	214	54	158700	37500	0	2	0	0	50	20	8102700	3.858718e-02	1
BEX2	455954	NaN	17	178950	42000	0	2	0	0	50	20	9660750	3.884483e-02	1
DGKI	196508	861	-7	1176450	322500	0	5	2	0	50	25	9908250	3.914501e-02	1
ELOF1	1152381	272	31	95250	23550	0	1	0	0	50	19	8255850	3.932760e-02	1
MAP3K9	247989	426	43	1177200	355050	0	6	1	0	50	17	10179000	3.961822e-02	1
AFF2	97330	NaN	-13	1435200	396750	0	8	1	0	50	15	9012450	3.990698e-02	1
RPS27	2028800	222	34	98850	23100	0	1	0	0	50	17	7703400	4.062994e-02	1
C16orf72	401555	253	7	293550	84450	0	2	0	0	50	12	11306550	4.092478e-02	1
ST18	155128	793	-15	1147950	302850	0	5	0	0	41	18	7811100	4.128954e-02	1
NCBP2	754196	306	29	174450	43800	0	2	0	0	50	10	10058550	4.138297e-02	1
KCNE1	381338	502	16	136650	40650	0	1	0	0	50	20	11594100	4.197381e-02	1
DRP2	417357	NaN	26	1051200	281700	0	5	0	0	50	25	10479450	4.215063e-02	1
PTRF	2209303	160	31	403050	126600	0	3	2	0	41	28	8882100	4.221369e-02	1
PCDH9	19605	831	-11	1301700	375000	0	8	2	0	50	35	10284900	4.222379e-02	1
HIST1H2AC	398813	636	53	132450	46200	0	2	0	0	50	15	5746350	4.253280e-02	1
RAP1B	439623	356	37	209250	53100	0	2	0	0	50	14	8427750	4.254552e-02	1
ARL5B	74299	539	-5	201150	50850	0	1	0	0	50	18	9456000	4.257413e-02	1
ZNF491	739660	633	-2	477750	115350	0	3	0	0	50	27	10164000	4.485015e-02	1
GAR1	212757	462	28	234600	70500	0	1	0	0	50	9	7625250	4.538783e-02	1
FAM129A	349492	479	3	1008750	268800	0	3	0	0	41	14	7849500	4.549958e-02	1
CEACAM4	1249321	499	27	259350	82200	0	4	0	0	50	37	10054500	4.594717e-02	1
OR2M5	19998	935	-32	325050	97050	0	5	1	0	50	35	7947600	4.599732e-02	1
RAP2B	59808	598	-2	192150	56250	0	2	0	0	50	27	9495600	4.685161e-02	1
C4orf40	181352	975	12	226200	78000	0	4	0	0	50	6	7574550	4.702710e-02	1
CIDEB	915114	220	38	233850	72150	0	1	0	0	50	14	8881050	4.703996e-02	1
GMFG	1748498	252	32	165450	38400	0	1	0	0	50	14	9864150	4.742175e-02	1
C16orf87	469144	217	12	172950	42600	0	1	0	0	50	14	10281300	4.758622e-02	1
DNMT3A	330147	286	43	1042950	285450	0	7	1	0	50	19	8500350	4.775213e-02	1
VPS25	1633092	190	33	200100	48750	0	3	0	0	50	18	8583450	4.776589e-02	1
MFHAS1	164853	395	34	1068900	356250	0	3	0	0	50	14	8018250	4.776935e-02	1
HRASLS5	887496	459	31	308100	78900	0	3	0	0	50	9	9501150	4.801780e-02	1
PLSCR2	122649	611	-16	252150	62400	0	2	0	0	50	25	11779650	4.805573e-02	1
ARMC7	1511891	168	25	206550	65700	0	2	0	0	50	14	7862100	4.819665e-02	1
OSBPL1A	150936	360	35	1072350	260100	0	6	2	0	50	15	8695650	4.826190e-02	1
RBM38	181292	604	9	168000	53850	0	1	0	0	50	26	8778750	4.837762e-02	1
MND1	202295	238	27	239400	52200	0	1	0	0	50	11	7893450	4.887252e-02	1
RND1	1655612	214	57	251400	70800	0	2	0	0	50	15	8403150	4.889322e-02	1
PHACTR1	251440	714	17	635550	172200	0	5	0	0	50	17	8457150	4.932149e-02	1
TGM5	825765	415	44	785100	210750	0	2	1	0	50	14	10460850	4.939873e-02	1
CXCR1	718028	301	27	361200	114450	0	3	0	0	50	10	11322900	4.949425e-02	1
BTBD11	206629	764	16	1204350	363450	0	9	1	0	50	20	7746450	5.001181e-02	1
KRTAP24-1	6302	1011	-69	269850	75300	0	3	0	0	50	29	5626500	5.009062e-02	1
ARHGAP9	1347802	194	32	776250	242550	0	4	0	0	50	21	8772000	5.014408e-02	1
RPL11	960799	225	28	200850	51600	0	1	0	0	50	20	8669100	5.021560e-02	1
LRRC27	150194	280	13	647850	168000	0	5	1	0	50	15	7962450	5.043903e-02	1
IFNA7	193208	498	-3	202950	54450	0	1	0	0	50	16	7730550	5.077286e-02	1
RAB12	241286	451	11	267750	72000	0	1	0	0	50	13	9119100	5.131722e-02	1
C4orf36	268001	603	36	130950	35550	0	1	0	0	50	13	6825900	5.203036e-02	1
PROL1	264684	915	25	253950	85800	0	2	0	0	50	9	7344750	5.211602e-02	1
KRTAP11-1	31443	1030	-60	166800	55500	0	3	1	0	49	35	6552600	5.231545e-02	1
UBE2D4	872910	239	44	169200	42300	0	2	0	0	50	20	9534150	5.237883e-02	1
CYP2R1	353856	596	-13	537750	147150	0	3	0	0	50	13	6558600	5.271451e-02	1
TFAP2C	280847	442	-44	476100	143550	0	2	0	0	50	28	8241000	5.339565e-02	1
IZUMO1	1635420	190	44	388050	102900	0	3	0	0	50	21	8878800	5.375543e-02	1
PPP1R1B	1164935	239	28	227550	60000	0	1	0	0	50	15	7970550	5.377357e-02	1
NAA38	72287	922	-13	107250	29100	0	1	0	0	50	34	10694550	5.419916e-02	1
SLC7A7	1153069	351	36	543450	163950	0	2	2	0	50	20	7464600	5.450974e-02	1
CPXM2	147419	771	10	818400	226950	0	3	0	0	50	15	8149950	5.472587e-02	1
TMEM215	610744	401	-18	247500	72900	0	3	1	0	28	17	4803900	5.485060e-02	1
HCN4	314300	642	16	1225650	412350	0	5	1	0	50	22	10123950	5.496280e-02	1
CRYBB3	247839	525	-31	234000	61200	0	2	0	0	50	24	8930400	5.541424e-02	1
PAPSS2	379125	169	46	672750	185850	0	4	0	0	50	10	6764850	5.546545e-02	1
NACA2	323585	358	-8	226200	67200	0	2	0	0	50	20	8344650	5.556904e-02	1
MRPL15	268859	464	31	315450	93600	0	4	0	0	50	13	8560950	5.557604e-02	1
PCDHGB7	662513	568	2	963900	301500	0	8	0	0	50	27	10514400	5.570859e-02	1
DERL1	470881	412	33	278700	74100	0	2	0	0	50	14	8621400	5.582110e-02	1
RNF39	1820240	496	30	428100	147450	0	3	2	0	47	22	6944100	5.595993e-02	1
CNTN4	52413	1215	-22	1119600	306450	0	7	0	0	50	24	9218700	5.603628e-02	1
SLC5A3	823351	574	88	748350	222300	0	6	0	0	16	3	3103350	5.610358e-02	1
MAGEB2	74310	NaN	16	335100	98700	0	3	0	0	50	24	8614650	5.619398e-02	1
GRIK2	10349	1062	-25	1049550	284250	0	8	1	0	41	26	9547050	5.656852e-02	1
MUC1	1801444	194	32	336450	59100	0	4	1	0	25	11	4135050	5.660375e-02	1
CD8B	330931	543	19	338700	80250	0	2	0	0	50	11	9965100	5.666037e-02	1
MYL1	186926	511	3	231900	58350	0	1	0	0	50	19	8776950	5.678491e-02	1
GLI3	41720	589	-12	1667700	491850	0	10	3	0	30	20	6491250	5.681939e-02	1
IGFL3	1177162	249	28	139500	36900	0	1	0	0	50	16	7583250	5.711181e-02	1
CNRIP1	204433	586	15	197400	55500	0	1	0	0	50	19	7472250	5.727352e-02	1
MYH15	257473	874	3	2161650	541500	0	8	0	0	48	14	8749050	5.741102e-02	1
TNP2	632841	308	37	153000	37350	0	1	0	0	50	19	9243450	5.793755e-02	1
OTOR	76240	856	-21	144300	36150	0	1	0	0	50	20	8920200	5.882550e-02	1
GRHL2	424003	399	36	701250	170850	0	5	0	0	50	19	8990100	5.901923e-02	1
NLRP8	802494	561	-68	1125450	307800	0	10	0	0	28	34	9157800	5.935152e-02	1
ANKRD34B	321394	545	38	542550	154500	0	2	0	0	50	21	8492250	5.958392e-02	1
TRAT1	107009	961	-15	212250	49200	0	1	0	0	50	27	9527850	5.972166e-02	1
STXBP6	259495	800	-3	236250	57600	0	2	0	0	50	22	8485500	5.973681e-02	1
PXK	574675	218	36	643050	170100	0	2	1	0	50	26	9868650	5.992565e-02	1
EDN1	198728	410	27	236400	58350	0	1	0	0	50	9	8678850	6.012436e-02	1
PCDHB7	915569	724	-11	803850	268050	0	8	3	0	50	34	10128150	6.038986e-02	1
VWA3B	361135	716	28	1420950	375900	0	8	1	0	50	10	9541800	6.048871e-02	1
PBRM1	1217701	231	47	1803900	455550	0	6	0	0	14	6	3742050	6.050210e-02	1
ITPA	997984	255	52	217650	58200	0	1	0	0	50	20	7997550	6.089174e-02	1
GNRH2	835590	288	54	128250	41400	0	1	0	0	50	19	7368900	6.099615e-02	1
C1QB	389456	541	29	264000	82500	0	1	0	0	50	18	9107400	6.151815e-02	1
OR10C1	404210	854	21	312450	109650	0	6	0	0	50	9	7001250	6.164563e-02	1
EVX2	242935	874	15	478350	168300	0	2	0	0	50	20	8207850	6.170161e-02	1
CALML3	769552	446	17	158100	44400	0	1	0	0	50	19	8994000	6.172876e-02	1
FAM135B	6187	989	-37	1503150	430500	0	6	0	0	24	10	4838700	6.206741e-02	1
CAPZA3	82407	911	-29	321900	84000	0	6	0	0	50	25	7170150	6.208498e-02	1
ODF2	1916608	160	35	956850	251850	0	5	1	0	50	23	9622500	6.214307e-02	1
TCF4	92114	936	12	737700	203700	0	7	0	0	28	9	5422800	6.226439e-02	1
TRPV6	284406	645	18	781800	223500	0	6	0	0	50	20	10181250	6.234853e-02	1
PUSL1	1744013	273	28	319050	104850	0	2	0	0	50	14	9606000	6.235944e-02	1
RYBP	102513	607	32	236700	64350	0	2	0	0	50	24	9805950	6.238618e-02	1
DSC1	214084	492	-7	991650	262500	0	5	1	0	50	18	8421000	6.258792e-02	1
HSD17B11	502611	417	16	323400	93750	0	3	0	0	50	21	7423200	6.291126e-02	1
C15orf59	313132	435	29	303750	94950	0	2	0	0	50	16	9678300	6.331216e-02	1
TCF7L1	973960	394	18	622050	193800	0	4	0	0	50	23	9433500	6.387928e-02	1
ASH2L	671169	258	34	696150	181800	0	2	0	0	14	0	2951400	6.399471e-02	1
PRC1	753718	413	31	690000	173550	0	3	0	0	50	20	9650850	6.444112e-02	1
OR10G2	658946	624	20	314700	104700	0	2	0	0	50	20	9972450	6.446837e-02	1
OR7D4	398878	582	-50	320850	101700	0	6	2	0	20	15	3223200	6.454126e-02	1
HIST1H2BJ	227588	622	29	132900	40350	0	2	0	0	50	15	7250700	6.456340e-02	1
CYP4F22	772367	543	20	574350	165000	0	3	0	0	50	17	10314150	6.489974e-02	1
KIF4B	516166	461	38	1312950	354300	0	5	2	0	50	16	10899150	6.517552e-02	1
C5orf48	235652	347	15	149250	38400	0	1	0	0	50	19	7976250	6.539822e-02	1
TNFRSF9	381467	207	24	284850	73350	0	1	0	0	50	17	9011400	6.546887e-02	1
CACNG1	300354	491	-30	240000	67350	0	2	0	0	50	29	9414300	6.580201e-02	1
PAQR6	2266205	211	33	512400	118500	0	2	0	0	50	29	9331200	6.624605e-02	1
RIPPLY2	108781	870	-22	142350	37200	0	1	0	0	50	24	8676450	6.684076e-02	1
MTSS1L	880781	184	34	784650	250350	0	2	1	0	50	20	9553800	6.698427e-02	1
TDP2	419582	373	8	398250	103500	0	2	0	0	50	17	11268600	6.766597e-02	1
SSBP3	695802	369	25	437850	117900	0	3	0	0	50	16	9691200	6.767048e-02	1
OR52M1	190769	879	-1	321300	107550	0	2	0	0	50	12	8349900	6.778477e-02	1
RS1	65885	NaN	26	249450	64200	0	2	0	0	50	25	8334750	6.788631e-02	1
DEPDC1	196163	601	-18	890400	225600	0	4	0	0	50	21	10224000	6.810720e-02	1
DHRS4	984811	442	23	298350	91800	0	2	0	0	50	22	10882950	6.810991e-02	1
TMEM125	1091212	264	30	213600	83400	0	1	0	0	50	14	8999250	6.818355e-02	1
KCNK13	300869	604	12	425100	128850	0	3	1	0	50	22	8676450	6.824865e-02	1
CRABP2	1851672	180	37	153000	40050	0	1	0	0	50	27	9891300	6.836986e-02	1
RPL10A	683460	280	36	241800	63300	0	1	0	0	50	14	10141050	6.840226e-02	1
YPEL2	1000345	452	16	134250	33150	0	1	0	0	50	19	6745500	6.845799e-02	1
UMOD	243266	848	-5	688800	195450	0	3	1	0	50	17	8362350	6.854359e-02	1
C16orf45	544403	200	30	250350	61950	0	1	0	0	50	22	8831700	6.864789e-02	1
GPX5	247624	576	27	250650	57150	0	3	0	0	50	14	9696450	6.883562e-02	1
RNF165	452638	289	33	374700	107250	0	2	0	0	50	10	7728150	6.894830e-02	1
DEFB119	591819	594	-83	187650	44100	0	3	0	0	50	49	11714700	6.940908e-02	1
GFER	1747301	183	46	218850	63750	0	3	1	0	42	16	6327450	6.956460e-02	1
VBP1	371405	NaN	-13	224250	52950	0	1	0	0	50	27	8949600	6.978244e-02	1
STMN1	801428	221	31	220200	56550	0	1	0	0	50	15	9259500	7.031098e-02	1
OR2K2	348469	501	19	326850	100650	0	5	0	0	50	19	10386750	7.047525e-02	1
RIT1	2096440	179	32	241200	64800	0	1	0	0	50	20	7819800	7.068388e-02	1
SPATA16	222219	577	-15	631050	156450	0	2	0	0	50	16	8265300	7.084716e-02	1
BARX2	287214	440	-19	296400	87900	0	2	0	0	49	17	8360100	7.097692e-02	1
C18orf8	329604	164	60	732150	191250	0	4	2	0	50	20	9551400	7.100111e-02	1
APCDD1	219220	604	2	545850	156600	0	3	1	0	50	15	8174250	7.109453e-02	1
FIGN	20376	586	-11	787950	239850	0	4	1	0	50	38	9982800	7.112039e-02	1
CRYGB	321897	440	5	195000	48000	0	1	0	0	50	12	7116300	7.127543e-02	1
AQP10	1653296	236	29	311850	105750	0	2	0	0	50	18	9675300	7.139158e-02	1
ATP12A	467468	619	40	1136550	315150	0	7	2	0	50	25	10167300	7.144261e-02	1
MS4A15	744779	621	23	257400	78750	0	1	0	0	50	13	9816450	7.145761e-02	1
TMEM52	1434423	233	27	216600	75000	0	2	0	0	50	18	8467050	7.155523e-02	1
WBSCR17	38269	1094	-34	642900	183750	0	3	1	0	50	30	9393150	7.168429e-02	1
KCTD11	1911735	206	36	231600	82950	0	4	0	0	50	16	9300000	7.177010e-02	1
RPS6KA6	19108	NaN	-22	834450	211350	0	4	0	0	8	3	1862100	7.217686e-02	1
GPR21	NaN	NaN	NaN	368100	103950	0	2	0	0	50	40	16808550	7.224297e-02	1
ETS1	215125	644	28	566550	143550	0	2	0	0	50	18	7719900	7.255132e-02	1
COX4I1	381135	298	28	191550	44700	0	1	0	0	50	23	10307700	7.270663e-02	1
KRTAP19-4	14979	1035	-68	87900	26400	0	1	0	0	50	32	5969850	7.276597e-02	1
INHBA	42008	671	-27	452700	125550	0	2	0	0	50	29	7771650	7.287586e-02	1
GAS7	91570	604	-30	549600	142050	0	4	0	0	50	35	10426950	7.307241e-02	1
PSMA5	1073027	302	26	271650	70350	0	1	0	0	50	10	8746650	7.329458e-02	1
PRM1	632841	308	37	58350	14550	0	1	0	0	19	5	3105300	7.329800e-02	1
GOLGA1	1116965	142	30	858300	214500	0	2	0	0	50	8	7583400	7.335992e-02	1
MS4A1	333232	899	13	326250	86850	0	3	0	0	50	29	8334000	7.349794e-02	1
LAMP1	815646	237	53	446250	132450	0	2	0	0	50	9	8281650	7.354675e-02	1
YWHAH	531528	344	-1	264000	71250	0	1	0	0	50	10	8371800	7.421684e-02	1
C11orf94	427820	291	48	102750	36300	0	2	0	0	50	11	8769900	7.425292e-02	1
DDX47	742991	129	27	495450	140850	0	5	0	0	50	8	9398250	7.473421e-02	1
BRWD3	150153	NaN	-20	1988550	517500	0	9	2	0	50	17	9916950	7.489963e-02	1
MECR	390697	395	22	401850	120150	0	1	0	0	50	12	9511350	7.496407e-02	1
PERP	329471	484	24	205950	59550	0	1	0	0	50	22	10393500	7.497343e-02	1
TPTE	30271	1268	-81	624750	158250	0	6	0	0	20	4	2298000	7.500866e-02	1
OSR1	63105	842	-9	277650	86400	0	2	0	0	50	42	12173100	7.503137e-02	1
OR52D1	99343	946	-2	325950	106500	0	2	0	0	50	20	9123450	7.509148e-02	1
