gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KRT77	1441383	464	29	618750	178200	0	1	0	0	50	33	8844900	6.149161e-01	1
RNF32	299200	635	-10	398100	106350	0	1	1	0	50	19	8758500	6.149661e-01	1
RBM4B	1432488	187	46	379950	111450	0	1	0	0	50	24	10342200	6.152328e-01	1
UNC5CL	134733	565	32	550200	164850	0	3	0	0	50	26	9656400	6.152433e-01	1
SLC46A3	167695	629	37	496350	141750	0	1	2	0	14	3	1611450	6.152740e-01	1
CCDC113	785059	347	15	418650	106950	0	1	0	0	50	16	7886700	6.153304e-01	1
PRCC	1649536	208	53	514800	160200	0	1	0	0	50	15	9150150	6.156926e-01	1
TNFRSF21	206419	389	1	689100	205500	0	1	0	0	15	12	4512450	6.157349e-01	1
ULK1	374096	180	23	1119000	348450	0	3	1	0	50	22	11274150	6.157547e-01	1
PPL	702265	206	19	1883550	527100	0	3	3	0	50	27	9761400	6.158257e-01	1
SPAG11B	NaN	NaN	NaN	382800	98700	0	1	0	0	50	40	16803300	6.158771e-01	1
ZNF395	289053	229	44	542100	168000	0	1	0	0	50	12	7929900	6.159124e-01	1
MYH13	83322	731	-47	2150550	538200	0	3	2	0	50	30	11925750	6.159790e-01	1
NIPSNAP3B	194451	718	-21	273000	71700	0	1	0	0	50	30	9123450	6.161562e-01	1
FBXO4	113456	795	23	432300	114000	0	1	0	0	50	16	8124450	6.162075e-01	1
HTR5A	186338	603	-1	368550	117450	0	1	0	0	50	19	8080800	6.162185e-01	1
HEATR6	972352	235	18	1261500	369300	0	1	2	0	50	13	8751900	6.162678e-01	1
CAPN6	132204	NaN	23	703800	184500	0	1	0	0	26	9	3844950	6.162726e-01	1
FAM20A	662487	313	-28	579150	170550	0	3	1	0	50	23	9083700	6.165130e-01	1
GRB7	1448852	226	36	576300	168450	0	2	1	0	50	31	11822250	6.167394e-01	1
MAP3K7	74576	643	17	678450	169800	0	2	0	0	13	4	2174850	6.167887e-01	1
DENND1C	865106	219	33	862350	260850	0	2	0	0	50	14	8829000	6.168513e-01	1
PKN1	954144	204	43	1014300	316800	0	3	2	0	50	21	9391650	6.169032e-01	1
MRPL1	159162	508	15	364500	90000	0	1	0	0	50	21	8735400	6.169686e-01	1
JPH1	236544	478	-15	702000	201600	0	2	0	0	50	30	9120450	6.172320e-01	1
APOE	1003719	196	6	329850	104850	0	1	1	0	50	19	7211850	6.172591e-01	1
MED1	1434634	214	17	1686750	477750	0	4	2	0	19	12	4197000	6.172847e-01	1
TRPV1	472939	354	9	791100	222750	0	2	0	0	50	21	11428350	6.173728e-01	1
FCGRT	2080142	210	41	384300	120600	0	1	0	0	50	21	9199800	6.173735e-01	1
TSSK1B	267968	620	13	385950	110850	0	1	2	0	16	11	2385600	6.173911e-01	1
GPR87	NaN	NaN	NaN	384600	104550	0	1	0	0	50	40	16809150	6.174758e-01	1
DMBX1	592811	255	23	397050	126300	0	1	0	0	50	17	7849500	6.174761e-01	1
ZNF780B	1181917	521	22	914700	218400	0	2	0	0	49	26	9567750	6.175225e-01	1
KRT12	1036346	358	5	524850	156900	0	2	0	0	50	15	5680200	6.175932e-01	1
PTPN23	866535	215	46	1712400	541650	0	5	3	0	50	26	9886500	6.176655e-01	1
ADAMTS8	693280	382	-6	926700	289200	0	2	2	0	50	19	8236800	6.179512e-01	1
MAGIX	724395	NaN	44	356400	123750	0	1	0	0	50	22	8886000	6.180732e-01	1
GTF3C1	282478	597	25	2277300	636900	0	7	1	0	50	21	11826450	6.181126e-01	1
RALGPS1	419512	353	41	619800	165900	0	2	2	0	12	4	2625750	6.181982e-01	1
OR2C1	1361831	303	29	320700	103650	0	1	0	0	15	6	2663550	6.182097e-01	1
SMC5	196227	395	-11	1231350	299550	0	2	0	0	34	12	6930750	6.184302e-01	1
PREX2	14825	990	1	1874100	469500	0	3	0	0	13	1	2795550	6.184489e-01	1
CCDC57	3405115	181	31	978900	286500	0	2	1	0	50	14	7634100	6.187288e-01	1
PSMD9	831519	195	45	245550	65850	0	1	0	0	50	31	8399700	6.189001e-01	1
USP12	283040	221	52	414750	100500	0	1	1	0	50	18	8596950	6.189300e-01	1
AK7	328475	560	14	806550	202350	0	3	2	0	46	22	8051850	6.190938e-01	1
MAP4K1	1503183	363	27	937500	272100	0	3	1	0	50	18	7969200	6.191703e-01	1
ARHGEF7	405184	579	30	982500	266700	0	2	1	0	50	10	7647300	6.193382e-01	1
FBXW4	764146	385	29	438750	133200	0	1	0	0	50	17	8625300	6.195399e-01	1
CREB3L1	801520	158	36	559050	162750	0	1	2	0	50	12	8095800	6.196155e-01	1
LRRC37A3	802924	241	8	1715700	511350	0	1	1	0	50	22	9425550	6.196474e-01	1
ZZEF1	717943	314	23	3207150	889650	0	6	1	0	30	9	7150500	6.196860e-01	1
PSMF1	524116	527	14	293100	86700	0	1	0	0	50	26	8487000	6.197576e-01	1
TRIM60	169984	637	5	506250	132750	0	1	0	0	50	14	8374200	6.198163e-01	1
USP11	807577	NaN	47	1046400	291000	0	2	0	0	50	16	8988900	6.198969e-01	1
G6PC2	173915	724	7	386550	102150	0	1	0	0	50	23	9989400	6.199064e-01	1
TRUB2	1813435	201	46	354150	107550	0	1	0	0	50	22	8785350	6.199300e-01	1
C9orf64	460176	343	2	364950	102150	0	1	0	0	50	19	7916400	6.201659e-01	1
EPHB2	568787	464	29	1063500	297300	0	4	3	0	9	7	2738550	6.202714e-01	1
GPS1	3850694	197	34	590850	165600	0	1	0	0	50	11	7929300	6.203434e-01	1
SELP	294306	478	6	913500	237600	0	2	0	0	50	14	9276000	6.203506e-01	1
NUP85	1723762	171	31	726000	194250	0	2	0	0	50	16	8240550	6.203766e-01	1
AP4B1	335231	545	13	794250	223650	0	5	2	0	50	23	8333850	6.205086e-01	1
UCP1	125708	752	7	326250	98550	0	1	0	0	50	28	10096650	6.206687e-01	1
